url,title,price,Балкон,Балкон остеклён,Безопасность,Бывшее общежитие,Возможен обмен,Высота потолков,Год постройки,Город,Дверь,Жилой комплекс,Интернет,Квартира меблирована,Парковка,Площадь,Пол,Санузел,Состояние квартиры,Телефон,Тип дома,Этаж
https://krisha.kz/a/show/1010575656,"4-комнатная квартира · 148 м² · 23/26 этаж, Кошкарбаева 10",109000000〒,лоджия,да,"охрана, домофон, кодовый замок, видеонаблюдение, видеодомофон",нет,Нет,2.8 м,2014,"Астана, Сарайшык р-н",бронированная,Хайвил Астана,проводной,полностью,паркинг,"148 м², Площадь кухни — 19.3 м²",ламинат,2 с/у и более,,отдельный,монолитный,23 из 26
https://krisha.kz/a/show/1010116021,"2-комнатная квартира · 39 м² · 8/17 этаж, E 882 15б",27990000〒,лоджия,да,"решетки на окнах, охрана, домофон, кодовый замок, сигнализация, видеонаблюдение, видеодомофон",нет,Да,3 м,2025,"Астана, Нура р-н",металлическая,Abai Joly,оптика,полностью,паркинг,39 м²,ламинат,совмещенный,,есть возможность подключения,монолитный,8 из 17
https://krisha.kz/a/show/1009743291,"2-комнатная квартира · 35.5 м² · 11/12 этаж, ​Улица А 52, 2 10/2",24500000〒,балкон и лоджия,,,нет,Нет,3 м,2020,"Астана, Сарайшык р-н",,Geneva 3,,,,35.5 м²,ламинат,совмещенный,свежий ремонт,,кирпичный,11 из 12
https://krisha.kz/a/show/1010819160,"2-комнатная квартира · 65 м² · 2/12 этаж, Кайыма Мухамедханова 6A",45800000〒,,,,нет,Нет,3 м,2022,"Астана, Есильский р-н",,GreenLine.Terra,,,,"65 м², Площадь кухни — 11 м²",,,свежий ремонт,,монолитный,2 из 12
https://krisha.kz/a/show/1010834712,"2-комнатная квартира · 65 м² · 12/22 этаж, Нажимеденова 10 — тауелсиздик",30300000〒,балкон,да,"домофон, сигнализация, видеонаблюдение",нет,Нет,3 м,2011,"Астана, Сарайшык р-н",бронированная,Гранд Астана,ADSL,полностью,паркинг,65 м²,ламинат,совмещенный,,отдельный,монолитный,12 из 22
https://krisha.kz/a/show/1009037438,"2-комнатная квартира · 71 м² · 7/9 этаж, Бокейхана 30 — Мега, ЭКСП, Школа Дарын и Бином",39000000〒,лоджия,да,,,Нет,2.7 м,2015,"Астана, Есильский р-н",металлическая,,ADSL,частично,рядом охраняемая стоянка,"71 м², Площадь кухни — 15 м²",,раздельный,требует ремонта,есть возможность подключения,кирпичный,7 из 9
https://krisha.kz/a/show/1010233010,"1-комнатная квартира · 35.5 м² · 1/12 этаж, ​Улица А 52, 10/1",22500000〒,балкон и лоджия,,,нет,Нет,3 м,2025,"Астана, Сарайшык р-н",,Geneva 3,,,,"35.5 м², Площадь кухни — 8 м²",,совмещенный,свежий ремонт,,кирпичный,1 из 12
https://krisha.kz/a/show/1008790383,"1-комнатная квартира · 44 м² · 5/6 этаж, Доспанова 1",22500000〒,лоджия,,,нет,Нет,2.7 м,2015,"Астана, Сарайшык р-н",металлическая,,проводной,полностью,,44 м²,,совмещенный,,отдельный,кирпичный,5 из 6
https://krisha.kz/a/show/1009888890,"3-комнатная квартира · 64 м² · 4/5 этаж, Ы.Дукенулы 28",24900000〒,балкон,да,"домофон, видеонаблюдение",нет,Нет,2.7 м,1981,"Астана, Сарыарка р-н",металлическая,,,частично,,64 м²,линолеум,совмещенный,,,панельный,4 из 5
https://krisha.kz/a/show/1010393619,"2-комнатная квартира · 54 м² · 3/9 этаж, Косшыгулулы 6/1 — Сейфуллина",32000000〒,,да,"домофон, видеонаблюдение",нет,Нет,2.7 м,2015,"Астана, Сарыарка р-н",бронированная,Акерке,,полностью,паркинг,"54 м², Площадь кухни — 11 м²",ламинат,совмещенный,,,монолитный,3 из 9
